Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_wait rhvd_wait rd_wait bin_wait cmc_wait def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_wait_rhvd improv_wait_rd improv_wait_bin improv_wait_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc def_turn rhvd_turn rd_turn bin_turn cmc_turn improv_turn_rhvd improv_turn_rd improv_turn_bin improv_turn_cmc
1724830 1546326862.0 3649.0 512.0 1.0 50.0 3649.0 3649.0 3649.0 3649.0 352.22357200000005 19.413898 19.413898 19.413898 352.22357200000005 19.413898 19.413898 19.413898 10.0 0.0 10.0 0.0 10.0 518.9688888888888 518.9688888888888 518.9688888888888 518.9688888888888 518.9688888888888 0.0 0.0 0.0 0.0 100.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3659.0 3649.0 3659.0 3649.0 3659.0 0.2732987154960372 0.0 0.2732987154960372 0.0
1724831 1546326906.0 3643.0 512.0 0.0 10.0 3643.0 3643.0 3643.0 3643.0 352.22357200000005 19.413898 19.413898 19.413898 352.22357200000005 19.413898 19.413898 19.413898 0.0 20.0 0.0 0.0 0.0 518.1155555555556 518.1155555555556 518.1155555555556 518.1155555555556 518.1155555555556 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3643.0 3663.0 3643.0 3643.0 3643.0 -0.5489980785067252 0.0 0.0 0.0
1724837 1546328222.0 4935.0 512.0 1.0 70.0 4935.0 4935.0 4935.0 4935.0 351.927704 19.397589 19.397589 19.397588999999996 351.927704 19.397589 19.397589 19.397588999999996 150.0 150.0 150.0 150.0 150.0 701.8666666666667 701.8666666666667 701.8666666666667 701.8666666666667 701.8666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5085.0 5085.0 5085.0 5085.0 5085.0 0.0 0.0 0.0 0.0
1724838 1546328338.0 2317.0 2048.0 1.0 70.0 1545.0 1786.0 1996.0 1933.0 5644.297852000001 96.25308199999999 52.99609399999999 65.9731904 2957.2583010000003 64.764046 42.516853000000005 49.191010899999995 40.0 40.0 30.0 40.0 40.0 1318.1155555555556 878.9333333333333 1016.0355555555556 1135.5022222222221 1099.6622222222222 33.31894691411308 22.91756581786793 13.854121709106604 16.573154941735 0.0 25.0 0.0 0.0 47.606267802608514 32.714834003964675 19.77361010794492 25.437877717067323 33.318946914113084 22.917565817867935 13.854121709106613 16.573154941735 2357.0 1585.0 1816.0 2036.0 1973.0 32.75350021213407 22.952906236741622 13.619007212558337 16.291896478574458
1724842 1546328619.0 2499.0 1024.0 1.0 50.0 2501.0 2501.0 2501.0 2501.0 900.898193 28.263474 28.263474 28.263473999999995 902.072083 28.300296999999997 28.300296999999997 28.300296999999997 50.0 60.0 50.0 60.0 60.0 710.8266666666667 711.3955555555556 711.3955555555556 711.3955555555556 711.3955555555556 -0.08003201280512205 -0.08003201280512205 -0.08003201280512205 -0.08003201280512205 -20.0 0.0 -20.0 -20.0 -0.13030218165839172 -0.1302847625879192 -0.1302847625879192 -0.1302847625879318 -0.08003201280511855 -0.08003201280511855 -0.08003201280511855 -0.08003201280511855 2549.0 2561.0 2551.0 2561.0 2561.0 -0.4707728520988623 -0.07846214201647705 -0.4707728520988623 -0.4707728520988623
1724849 1546331076.0 3673.0 512.0 1.0 70.0 3673.0 3673.0 3673.0 3673.0 449.855408 24.795177 24.795177 24.795177 449.855408 24.795177 24.795177 24.795177 0.0 0.0 90.0 0.0 90.0 522.3822222222223 522.3822222222223 522.3822222222223 522.3822222222223 522.3822222222223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3673.0 3673.0 3763.0 3673.0 3763.0 0.0 -2.4503130955622106 0.0 -2.4503130955622106
1724850 1546331115.0 3655.0 512.0 1.0 90.0 3655.0 3655.0 3655.0 3655.0 352.22357200000005 19.413898 19.413898 19.413898 352.22357200000005 19.413898 19.413898 19.413898 50.0 60.0 50.0 60.0 50.0 519.8222222222222 519.8222222222222 519.8222222222222 519.8222222222222 519.8222222222222 0.0 0.0 0.0 0.0 -20.0 0.0 -20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3705.0 3715.0 3705.0 3715.0 3705.0 -0.2699055330634278 0.0 -0.2699055330634278 0.0
1724859 1546332243.0 3635.0 2048.0 1.0 30.0 3049.0 3172.0 3280.0 3248.0 6387.830078 112.48061399999999 62.99609399999999 77.84144999999998 2957.2583010000003 64.764046 42.516853000000005 49.191010899999995 30.0 30.0 20.0 30.0 20.0 2067.911111111111 1734.5422222222223 1804.5155555555555 1865.9555555555555 1847.7511111111112 16.12104539202201 12.737276478679505 9.766162310866575 10.646492434663 0.0 33.333333333333336 0.0 33.333333333333336 53.704806407031036 42.42203727657461 32.50874728836361 36.80614775290027 16.121045392021998 12.737276478679506 9.766162310866573 10.646492434662992 3665.0 3079.0 3192.0 3310.0 3268.0 15.989085948158253 12.905866302864938 9.686221009549795 10.832196452933152
1724860 1546332340.0 2556.0 1024.0 0.0 10.0 2556.0 2556.0 2556.0 2556.0 510.0 16.0 16.0 16.0 510.0 16.0 16.0 16.0 40.0 240.0 230.0 70.0 230.0 727.04 727.04 727.04 727.04 727.04 0.0 0.0 0.0 0.0 -500.0 -475.0 -75.0 -475.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2596.0 2796.0 2786.0 2626.0 2786.0 -7.704160246533128 -7.3189522342064715 -1.1556240369799693 -7.3189522342064715
1724867 1546333224.0 4980.0 512.0 1.0 30.0 4829.0 4829.0 4829.0 4829.0 508.0 28.0 28.0 28.0 456.62921100000005 25.168537 25.168537 25.168536999999997 80.0 80.0 70.0 80.0 50.0 708.2666666666667 686.7911111111111 686.7911111111111 686.7911111111111 686.7911111111111 3.032128514056225 3.032128514056225 3.032128514056225 3.032128514056225 0.0 12.5 0.0 37.5 10.112360039370069 10.112367857142855 10.112367857142855 10.112367857142868 3.0321285140562173 3.0321285140562173 3.0321285140562173 3.0321285140562173 5060.0 4909.0 4899.0 4909.0 4879.0 2.984189723320158 3.1818181818181817 2.984189723320158 3.5770750988142295
1724876 1546335287.0 3645.0 512.0 1.0 30.0 3310.0 3310.0 3310.0 3310.0 508.0 28.0 28.0 28.0 352.22357200000005 19.413898 19.413898 19.413898 90.0 30.0 150.0 120.0 220.0 518.4 470.75555555555553 470.75555555555553 470.75555555555553 470.75555555555553 9.190672153635116 9.190672153635116 9.190672153635116 9.190672153635116 66.66666666666667 -66.66666666666667 -33.333333333333336 -144.44444444444446 30.664651181102354 30.66465 30.66465 30.66465 9.190672153635116 9.190672153635116 9.190672153635116 9.190672153635116 3735.0 3340.0 3460.0 3430.0 3530.0 10.575635876840696 7.362784471218206 8.165997322623829 5.4886211512717535
1724877 1546335337.0 3643.0 512.0 0.0 10.0 3592.0 3592.0 3592.0 3592.0 410.072296 22.602411 22.602411 22.602410999999996 352.22357200000005 19.413898 19.413898 19.413898 40.0 240.0 100.0 70.0 170.0 518.1155555555556 510.8622222222222 510.8622222222222 510.8622222222222 510.8622222222222 1.3999451001921492 1.3999451001921492 1.3999451001921492 1.3999451001921492 -500.0 -150.0 -75.0 -325.0 14.106957374169932 14.106959651339851 14.106959651339851 14.106959651339839 1.3999451001921597 1.3999451001921597 1.3999451001921597 1.3999451001921597 3683.0 3832.0 3692.0 3662.0 3762.0 -4.0456149877817 -0.24436600597339125 0.5701873472712463 -2.1449904968775453
1724891 1546338267.0 4911.0 512.0 1.0 30.0 4589.0 4589.0 4589.0 4589.0 450.44714400000004 24.827793 24.827793 24.827792999999996 351.927704 19.397589 19.397589 19.397588999999996 10.0 10.0 0.0 10.0 0.0 698.4533333333334 652.6577777777778 652.6577777777778 652.6577777777778 652.6577777777778 6.556709427815109 6.556709427815109 6.556709427815109 6.556709427815109 0.0 100.0 0.0 100.0 21.87147622363436 21.871472828857563 21.871472828857563 21.871472828857566 6.5567094278151075 6.5567094278151075 6.5567094278151075 6.5567094278151075 4921.0 4599.0 4589.0 4599.0 4589.0 6.543385490753912 6.746596220280431 6.543385490753912 6.746596220280431
1724896 1546339512.0 3643.0 512.0 1.0 70.0 3640.0 3640.0 3640.0 3640.0 450.44714400000004 24.827793 24.827793 24.827792999999996 449.855408 24.795177 24.795177 24.795177 60.0 260.0 250.0 90.0 250.0 518.1155555555556 517.6888888888889 517.6888888888889 517.6888888888889 517.6888888888889 0.08234971177600878 0.08234971177600878 0.08234971177600878 0.08234971177600878 -333.3333333333333 -316.6666666666667 -50.0 -316.6666666666667 0.13136635627109797 0.13136890580649221 0.13136890580649221 0.13136890580647792 0.08234971177602166 0.08234971177602166 0.08234971177602166 0.08234971177602166 3703.0 3900.0 3890.0 3730.0 3890.0 -5.32001080205239 -5.049959492303538 -0.7291385363219012 -5.049959492303538
1724897 1546339560.0 3667.0 512.0 1.0 50.0 3669.0 3669.0 3669.0 3669.0 351.927704 19.397589 19.397589 19.397588999999996 352.22357200000005 19.413898 19.413898 19.413898 20.0 220.0 210.0 60.0 210.0 521.5288888888889 521.8133333333334 521.8133333333334 521.8133333333334 521.8133333333334 -0.0545404963185165 -0.0545404963185165 -0.0545404963185165 -0.0545404963185165 -1000.0 -950.0 -200.0 -950.0 -0.08407067606136552 -0.0840774593172362 -0.0840774593172362 -0.08407745931725454 -0.05454049631852502 -0.05454049631852502 -0.05454049631852502 -0.05454049631852502 3687.0 3889.0 3879.0 3729.0 3879.0 -5.478708977488473 -5.207485760781123 -1.1391375101708707 -5.207485760781123
1724902 1546340991.0 2298.0 2048.0 1.0 70.0 1434.0 1691.0 1944.0 1868.0 6387.830078 103.982567 54.498047 69.343403 2957.2583010000003 64.764046 42.516853000000005 49.191010899999995 290.0 10.0 110.0 290.0 90.0 1307.3066666666666 815.7866666666666 961.9911111111111 1105.92 1062.6844444444444 37.59791122715405 26.414273281114014 15.404699738903394 18.711923411662315 96.55172413793103 62.06896551724138 0.0 68.96551724137932 53.704806407031036 37.71643856416817 21.98463001802614 29.061729347202647 37.59791122715405 26.414273281114014 15.404699738903386 18.71192341166232 2588.0 1444.0 1801.0 2234.0 1958.0 44.20401854714065 30.409582689335394 13.678516228748068 24.343122102009275
1724906 1546343238.0 5011.0 512.0 0.0 10.0 4940.0 4940.0 4940.0 4940.0 410.072296 22.602411 22.602411 22.602410999999996 352.22357200000005 19.413898 19.413898 19.413898 0.0 140.0 130.0 20.0 130.0 712.6755555555555 702.5777777777778 702.5777777777778 702.5777777777778 702.5777777777778 1.4168828577130312 1.4168828577130312 1.4168828577130312 1.4168828577130312 0.0 0.0 0.0 0.0 14.106957374169932 14.106959651339851 14.106959651339851 14.106959651339839 1.4168828577130295 1.4168828577130295 1.4168828577130295 1.4168828577130295 5011.0 5080.0 5070.0 4960.0 5070.0 -1.3769706645380164 -1.1774096986629414 1.0177609259628817 -1.1774096986629414
