Configuration,Runtime(in secs),Time Interval(secs)
MPI_Allgather(comm_across_1024000):,0.237932,0
MPI_Allgather(comm_across_1024000):,0.228173,2287
MPI_Allgather(comm_across_1024000):,0.233383,4584
MPI_Allgather(comm_across_1024000):,0.23113,6876
MPI_Allgather(comm_across_1024000):,0.223426,9153
MPI_Allgather(comm_across_1024000):,0.234581,11453
MPI_Allgather(comm_across_1024000):,0.233826,13751
MPI_Allgather(comm_across_1024000):,0.235369,16051
MPI_Allgather(comm_across_1024000):,0.23726,18354
MPI_Allgather(comm_across_1024000):,0.13705,20607
MPI_Allgather(comm_across_1024000):,0.179725,23071
MPI_Allgather(comm_across_1024000):,0.179418,25500
MPI_Allgather(comm_across_1024000):,0.210543,27928
MPI_Allgather(comm_across_1024000):,0.141911,30257
MPI_Allgather(comm_across_1024000):,0.215842,32740
MPI_Allgather(comm_across_1024000):,0.204286,35192
MPI_Allgather(comm_across_1024000):,0.21296,37604
MPI_Allgather(comm_across_1024000):,0.150569,39919
MPI_Allgather(comm_across_1024000):,0.209425,42381
MPI_Allgather(comm_across_1024000):,0.179875,44835
MPI_Allgather(comm_across_1024000):,0.218788,47360
MPI_Allgather(comm_across_1024000):,0.196034,49850
MPI_Allgather(comm_across_1024000):,0.133001,52223
MPI_Allgather(comm_across_1024000):,0.205302,54784
MPI_Allgather(comm_across_1024000):,0.183386,57311
MPI_Allgather(comm_across_1024000):,0.119283,59683
MPI_Allgather(comm_across_1024000):,0.15084,65043
MPI_Allgather(comm_across_1024000):,0.203924,66914
MPI_Allgather(comm_across_1024000):,0.210465,68785
MPI_Allgather(comm_across_1024000):,0.181724,70652
MPI_Allgather(comm_across_1024000):,0.232384,72526
MPI_Allgather(comm_across_1024000):,0.190518,74394
MPI_Allgather(comm_across_1024000):,0.199277,76263
MPI_Allgather(comm_across_1024000):,0.172112,82246
MPI_Allgather(comm_across_1024000):,0.184289,84111
MPI_Allgather(comm_across_1024000):,0.19011,85979
MPI_Allgather(comm_across_1024000):,0.188037,87845
MPI_Allgather(comm_across_1024000):,0.183758,89711
MPI_Allgather(comm_across_1024000):,0.089213,91559
MPI_Allgather(comm_across_1024000):,0.2006,93429
MPI_Allgather(comm_across_1024000):,0.181023,95295
MPI_Allgather(comm_across_1024000):,0.12138,97149
MPI_Allgather(comm_across_1024000):,0.183502,99015
MPI_Allgather(comm_across_1024000):,0.089115,100864
MPI_Allgather(comm_across_1024000):,0.183473,102731
MPI_Allgather(comm_across_1024000):,0.183326,104600
MPI_Allgather(comm_across_1024000):,0.176946,106465
MPI_Allgather(comm_across_1024000):,0.180309,108333
MPI_Allgather(comm_across_1024000):,0.18906,110200
MPI_Allgather(comm_across_1024000):,0.181914,112067
MPI_Allgather(comm_across_1024000):,0.18324,113937
MPI_Allgather(comm_across_1024000):,0.189136,115804
MPI_Allgather(comm_across_1024000):,0.184649,117670
MPI_Allgather(comm_across_1024000):,0.140623,119528
MPI_Allgather(comm_across_1024000):,0.162879,121390
MPI_Allgather(comm_across_1024000):,0.205444,123261
MPI_Allgather(comm_across_1024000):,0.183242,125128
MPI_Allgather(comm_across_1024000):,0.180074,126994
MPI_Allgather(comm_across_1024000):,0.179913,128860
MPI_Allgather(comm_across_1024000):,0.199258,130731
MPI_Allgather(comm_across_1024000):,0.147816,132590
MPI_Allgather(comm_across_1024000):,0.187305,134457
MPI_Allgather(comm_across_1024000):,0.230747,136333
MPI_Allgather(comm_across_1024000):,0.210474,138205
MPI_Allgather(comm_across_1024000):,0.070628,140050
MPI_Allgather(comm_across_1024000):,0.112973,141906
MPI_Allgather(comm_across_1024000):,0.117933,143761
MPI_Allgather(comm_across_1024000):,0.115785,145617
MPI_Allgather(comm_across_1024000):,0.235307,147494
MPI_Allgather(comm_across_1024000):,0.225415,149369
MPI_Allgather(comm_across_1024000):,0.119935,151223
MPI_Allgather(comm_across_1024000):,0.239677,153103
MPI_Allgather(comm_across_1024000):,0.243944,154984
MPI_Allgather(comm_across_1024000):,0.331607,156880
MPI_Allgather(comm_across_1024000):,0.15019,158747
