Configuration,Runtime(in secs),Time Interval(secs)
MPI_Allgather(across_1024000):,0.082987,154618
MPI_Allgather(across_1024000):,0.083049,154816
MPI_Allgather(across_1024000):,0.081459,155010
MPI_Allgather(across_1024000):,0.092602,155230
MPI_Allgather(across_1024000):,0.082899,155428
MPI_Allgather(across_1024000):,0.083123,155626
MPI_Allgather(across_1024000):,0.080535,155820
MPI_Allgather(across_1024000):,0.083920,156020
MPI_Allgather(across_1024000):,0.082081,156218
MPI_Allgather(across_1024000):,0.081406,156416
MPI_Allgather(across_1024000):,0.079597,156609
MPI_Allgather(across_1024000):,0.088520,156819
MPI_Allgather(across_1024000):,0.112105,157076
