Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
1724830 1546326862.0 3649.0 512.0 1.0 50.0 3649.0 3649.0 3649.0 3649.0 345.325867 19.033709 19.033709 19.033709 345.325867 19.033709 19.033709 19.033709 518.9688888888888 518.9688888888888 518.9688888888888 518.9688888888888 518.9688888888888 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724831 1546326906.0 3643.0 512.0 0.0 10.0 3643.0 3643.0 3643.0 3643.0 254.0 14.0 14.0 14.0 254.0 14.0 14.0 14.0 518.1155555555556 518.1155555555556 518.1155555555556 518.1155555555556 518.1155555555556 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724837 1546328222.0 4935.0 512.0 1.0 70.0 4935.0 4935.0 4935.0 4935.0 345.325867 19.033709 19.033709 19.033709 345.325867 19.033709 19.033709 19.033709 701.8666666666667 701.8666666666667 701.8666666666667 701.8666666666667 701.8666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724838 1546328338.0 2317.0 2048.0 1.0 70.0 1594.0 1522.0 2065.0 1902.0 3085.685547 73.19101 44.202248 52.898876599999994 1710.666748 37.333336 37.333336 37.333336 1318.1155555555556 906.8088888888889 865.8488888888888 1174.7555555555555 1082.0266666666666 31.204143288735434 34.311609840310744 10.876132930513595 17.911091929218816 44.56120943162327 48.991910345273276 15.539734540198035 29.425087261682968 31.204143288735438 34.31160984031075 10.876132930513604 17.911091929218824
1724842 1546328619.0 2499.0 1024.0 1.0 50.0 2499.0 2499.0 2499.0 2499.0 876.741577 27.505617 27.505617 27.505616999999997 876.741577 27.505617 27.505617 27.505616999999997 710.8266666666667 710.8266666666667 710.8266666666667 710.8266666666667 710.8266666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724849 1546331076.0 3673.0 512.0 1.0 70.0 3673.0 3673.0 3673.0 3673.0 345.325867 19.033709 19.033709 19.033709 345.325867 19.033709 19.033709 19.033709 522.3822222222223 522.3822222222223 522.3822222222223 522.3822222222223 522.3822222222223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724850 1546331115.0 3655.0 512.0 1.0 90.0 3655.0 3655.0 3655.0 3655.0 345.325867 19.033709 19.033709 19.033709 345.325867 19.033709 19.033709 19.033709 519.8222222222222 519.8222222222222 519.8222222222222 519.8222222222222 519.8222222222222 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724859 1546332243.0 3635.0 2048.0 1.0 30.0 3149.0 3101.0 3466.0 3356.0 3085.685547 73.19101 44.202248 52.898876599999994 1710.666748 37.333336 37.333336 37.333336 2067.911111111111 1791.431111111111 1764.1244444444444 1971.7688888888888 1909.191111111111 13.370013755158185 14.690508940852819 4.649243466299862 7.6753782668500685 44.56120943162327 48.991910345273276 15.539734540198035 29.425087261682968 13.370013755158185 14.690508940852819 4.649243466299864 7.675378266850071
1724860 1546332340.0 2556.0 1024.0 0.0 10.0 2556.0 2556.0 2556.0 2556.0 510.0 16.0 16.0 16.0 510.0 16.0 16.0 16.0 727.04 727.04 727.04 727.04 727.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1724867 1546333224.0 4980.0 512.0 1.0 30.0 4980.0 4980.0 4980.0 4980.0 345.325867 19.033709 19.033709 19.033709 345.325867 19.033709 19.033709 19.033709 708.2666666666667 708.2666666666667 708.2666666666667 708.2666666666667 708.2666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
