Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
164870 1514771105.0 3743.0 64.0 1.0 90.0 3456.0 3262.0 3532.0 3451.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.54222222222222 61.44 57.99111111111111 62.791111111111114 61.35111111111111 7.6676462730430135 12.85065455516965 5.6371894202511355 7.80122896072669 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.667646273043016 12.850654555169651 5.63718942025113 7.801228960726693
164871 1514771108.0 3739.0 64.0 1.0 70.0 3516.0 3365.0 3575.0 3512.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.47111111111111 62.50666666666667 59.82222222222222 63.55555555555556 62.43555555555555 5.964161540518855 10.002674511901578 4.3861995185878575 6.071142016581974 8.532423208191126 14.285714285714286 6.25 8.814589665653493 5.964161540518857 10.002674511901581 4.386199518587859 6.071142016581982
164872 1514771110.0 3739.0 64.0 0.0 10.0 3739.0 3739.0 3739.0 3739.0 68.0 14.0 14.0 14.0 68.0 14.0 14.0 14.0 66.47111111111111 66.47111111111111 66.47111111111111 66.47111111111111 66.47111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164873 1514771121.0 3739.0 64.0 1.0 30.0 3643.0 3579.0 3669.0 3642.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.47111111111111 64.76444444444445 63.626666666666665 65.22666666666667 64.74666666666667 2.5675314255148436 4.27921904252474 1.8721583311045735 2.594276544530623 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.5675314255148387 4.279219042524745 1.8721583311045666 2.594276544530622
164874 1514771161.0 3710.0 64.0 1.0 30.0 3615.0 3551.0 3640.0 3614.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.95555555555555 64.26666666666667 63.12888888888889 64.71111111111111 64.24888888888889 2.560646900269542 4.285714285714286 1.8867924528301887 2.5876010781671157 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.560646900269533 4.285714285714277 1.8867924528301823 2.5876010781671113
164875 1514771179.0 3706.0 64.0 1.0 30.0 3611.0 3547.0 3637.0 3610.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 65.88444444444444 64.19555555555556 63.05777777777778 64.65777777777778 64.17777777777778 2.5634106853750676 4.290339989206692 1.8618456556934702 2.5903939557474365 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.5634106853750587 4.290339989206683 1.8618456556934593 2.590393955747432
164876 1514771182.0 3726.0 64.0 1.0 90.0 3440.0 3247.0 3516.0 3436.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.24 61.15555555555556 57.724444444444444 62.50666666666667 61.08444444444444 7.675791733762749 12.855609232420827 5.636070853462158 7.7831454643048845 8.532423208191126 14.285714285714286 6.25 8.814589665653493 7.675791733762737 12.85560923242082 5.636070853462148 7.78314546430488
164877 1514771185.0 3729.0 64.0 1.0 30.0 3634.0 3569.0 3659.0 3632.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.29333333333334 64.60444444444444 63.44888888888889 65.04888888888888 64.56888888888889 2.547599892732636 4.290694556181282 1.877178868329311 2.601233574684902 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.547599892732648 4.290694556181288 1.8771788683293256 2.601233574684901
164878 1514771199.0 3729.0 64.0 1.0 70.0 3506.0 3356.0 3566.0 3503.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.29333333333334 62.32888888888889 59.66222222222222 63.39555555555555 62.275555555555556 5.980155537677661 10.002681684097613 4.371145079109681 6.0606060606060606 8.532423208191126 14.285714285714286 6.25 8.814589665653493 5.980155537677663 10.002681684097622 4.371145079109688 6.060606060606064
164881 1514774024.0 7277.0 8.0 1.0 50.0 7277.0 7277.0 7277.0 7277.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 16.17111111111111 16.17111111111111 16.17111111111111 16.17111111111111 16.17111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164883 1514774859.0 12562.0 128.0 1.0 50.0 11782.0 11647.0 11979.0 11880.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 446.6488888888889 418.91555555555556 414.11555555555555 425.92 422.4 6.209202356312689 7.28387199490527 4.640980735551664 5.42907180385289 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.209202356312693 7.283871994905275 4.640980735551663 5.4290718038528984
164885 1514776316.0 2383.0 8.0 1.0 90.0 2383.0 2383.0 2383.0 2383.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 5.295555555555556 5.295555555555556 5.295555555555556 5.295555555555556 5.295555555555556 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164886 1514776454.0 3776.0 64.0 1.0 70.0 3550.0 3398.0 3611.0 3547.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 67.1288888888889 63.111111111111114 60.40888888888889 64.19555555555556 63.05777777777778 5.985169491525424 10.010593220338983 4.369703389830509 6.064618644067797 8.532423208191126 14.285714285714286 6.25 8.814589665653493 5.985169491525427 10.01059322033899 4.369703389830514 6.064618644067802
164887 1514777920.0 3721.0 64.0 1.0 30.0 3626.0 3562.0 3651.0 3624.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.1511111111111 64.46222222222222 63.324444444444445 64.90666666666667 64.42666666666666 2.553077129803816 4.273044880408492 1.8812147272238646 2.6068261220102125 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.5530771298038073 4.2730448804084835 1.881214727223858 2.606826122010212
164888 1514777923.0 3713.0 64.0 1.0 30.0 3618.0 3554.0 3643.0 3617.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.00888888888889 64.32 63.18222222222222 64.76444444444445 64.30222222222223 2.5585779692970645 4.282251548612981 1.8852679773767842 2.5855103689738757 8.532423208191126 14.285714285714286 6.25 8.814589665653493 2.558577969297077 4.282251548612983 1.8852679773767775 2.5855103689738708
